item_no,phrase1_masked,phrase2_masked,phrase2_cut,number
22,Die [MASK] machten schon Pause.,"Man konnte bemerken, dass einer der [MASK] wirklich ruhig war.","Man konnte bemerken, dass einer der",PL
23,Die [MASK] sahen sehr krank aus.,"Es war offensichtlich, dass die Mehrheit der [MASK] gesund war.","Es war offensichtlich, dass die Mehrheit der",PL
24,Die [MASK] gingen ins Krankenhaus.,"Man konnte sehen, dass einige der [MASK] wirklich krank aussahen.","Man konnte sehen, dass einige der",PL
25,Die [MASK] stiegen aus dem Flugzeug.,Nach einem so langen Tag schien die Mehrheit der [MASK] nach Hause zu wollen.,Nach einem so langen Tag schien die Mehrheit der,PL
26,Die [MASK] waren schon am Treffpunkt.,Nach einiger Zeit schienen mehrere der [MASK] gehen zu wollen.,Nach einiger Zeit schienen mehrere der,PL
27,Die [MASK] gingen die Stufen hinunter.,Nach einem so langen Tag schien ein Teil der [MASK] gehen zu wollen.,Nach einem so langen Tag schien ein Teil der,PL
28,Die [MASK] betraten das Haus.,Am Ende des Tages schienen einige der [MASK] eine Pause machen zu wollen.,Am Ende des Tages schienen einige der,PL
29,Die [MASK] kamen von der Arbeit zurück.,Nach einiger Zeit schienen einige der [MASK] umkehren zu wollen.,Nach einiger Zeit schienen einige der,PL
30,Die [MASK] unterhielten sich ruhig.,Nach einiger Zeit schien ein Teil der [MASK] gehen zu wollen.,Nach einiger Zeit schien ein Teil der,PL
31,Die [MASK] freuten sich über das Ergebnis.,"Es war offensichtlich, dass die Mehrheit der [MASK] wirklich traurig war.","Es war offensichtlich, dass die Mehrheit der",PL
32,Die [MASK] wirkten wirklich traurig.,"Man konnte bemerken, dass mehrere der [MASK] sehr guter Laune waren.","Man konnte bemerken, dass mehrere der",PL
33,Die [MASK] diskutierten lebhaft.,Nach einiger Zeit schien ein Teil der [MASK] gehen zu wollen.,Nach einiger Zeit schien ein Teil der,PL
34,Die [MASK] kamen in der Nacht nach Hause.,Angesichts des guten Wetters trugen die meisten der [MASK] Sonnenbrillen.,Angesichts des guten Wetters trugen die meisten der,PL
35,Die [MASK] genossen die Sonne.,Aufgrund des schlechten Wetters trug einer der [MASK] einen Regenmantel.,Aufgrund des schlechten Wetters trug einer der,PL
36,Die [MASK] warteten im Regen.,"Da es schön war, trugen einige der [MASK] ein T-Shirt.","Da es schön war, trugen einige der",PL
37,Die [MASK] schützten sich vor der Hitze.,"Da es kalt war, trug eine der [MASK] eine Winterjacke.","Da es kalt war, trug eine der",PL
38,Die [MASK] schützten sich vor dem Regen.,"Da es schön war, trugen mehrere der [MASK] einen Hut.","Da es schön war, trugen mehrere der",PL
39,Die [MASK] sahen die Schneeflocken an.,Wegen der Hitze hatten einige der [MASK] keine Jacke.,Wegen der Hitze hatten einige der,PL
40,Die [MASK] genossen Wein in der Sonne.,Wegen des Regens hatten einige der [MASK] einen Regenschirm.,Wegen des Regens hatten einige der,PL
41,Die [MASK] sahen das Spiel im Regen.,Aufgrund des guten Wetters trugen die meisten der [MASK] Shorts.,Aufgrund des guten Wetters trugen die meisten der,PL
42,Die [MASK] genossen die Sonne.,"Da es regnete, trugen die meisten der [MASK] eine Winterjacke.","Da es regnete, trugen die meisten der",PL
43,Die [MASK] sahen den Regen fallen.,Bei schönem Wetter trug die Mehrheit der [MASK] Sonnenbrillen.,Bei schönem Wetter trug die Mehrheit der,PL
44,Die [MASK] gingen durch den Schneesturm.,Angesichts der Hitze trugen einige der [MASK] ein T-Shirt.,Angesichts der Hitze trugen einige der,PL
